Name;ecology;pH;real_5
Tuberaceae;mycorrhizae;neutral to mildly alkaline;4
Tylopilus;mycorrhizae;neutral;3
Tylopilus sp.;mycorrhizae;neutral;3
Umbelopsidaceae;symbiotic;unknown;out
Umbelopsidales;symbiotic;unknown;out
Umbelopsidomycetes;symbiotic;unknown;out
Umbelopsis;symbiotic;pH tolerant;out
Umbelopsis ramanniana;symbiotic;pH tolerant;out
Uncinocarpus;saprotroph;unknown;out
Uncinocarpus reesii;saprotroph;unknown;out
Uncinocarpus reesii 1704;saprotroph;unknown;out
unclassified Ceratobasidium;mycorrhizae;slightly alkaline;4
unclassified Chaetothyriales;unknown;unknown;out
unclassified Chrysoporthe;parasite;acidic;1
unclassified Cladosporium;mould;slightly acidic to neutral;2
unclassified Clavicipitaceae;parasite;unknown;out
unclassified Clavulina;mycorrhizae;slightly acidic;2
unclassified Diversispora;mycorrhizae;acidic?;1
unclassified Fungi;contaminant;contaminant;out
unclassified Geomyces;mycorrhizae;slightly acidic;2
unclassified Helotiales;unknown;unknown;out
unclassified Helvella;mycorrhizae;unknown;out
unclassified Herpotrichiellaceae;unknown;unknown;out
unclassified Ilyonectria;lichen;slightly acidic to slightly alkaline;out
unclassified Microscypha;unknown;unknown;out
unclassified Mortierella;saprotroph;unknown;out
unclassified Neonectria;parasite;neutral;3
unclassified Oedogoniomyces;unknown;unknown;out
unclassified Oidiodendron;mycorrhizae;acidic;1
unclassified Phaeococcomycetaceae;parasite;unknown;out
unclassified Phialocephala (in: Leotiomycetes);mycorrhizae;acidic;1
unclassified Phialocephala fortinii species complex;mycorrhizae;acidic;1
unclassified Pseudogymnoascus;saprotroph;slightly acidic to alkaline;4
unclassified Pyrenopeziza;saprotroph;slightly alkaline;4
unclassified Rhizophagus;mycorrhizae;slightly acidic;2
unclassified Rhizophydium;saprotroph;acidic;1
unclassified Rhytismatales;parasite;unknown;out
unclassified Scytalidium;parasite;acidic;1
unclassified Termitomyces;symbiotic;acidic to slightly alkaline;2
unclassified Tylopilus;mycorrhizae;neutral;3
uncultured Ascomycota;unknown;unknown;out
uncultured Aspergillus;saprotroph;unknown;out
uncultured Basidiomycota;unknown;unknown;out
uncultured fungus;contaminant;contaminant;out
uncultured Glomeromycotina;mycorrhizae;unknown;out
uncultured Herpotrichiellaceae;unknown;unknown;out
uncultured Onygenales;unknown;unknown;out
uncultured Rhizophydiales;unknown;unknown;out
uncultured Thelephora;mycorrhizae;acidic;1
Usnea;lichen;unknown;out
Usnea mutabilis;lichen;unknown;out
Ustilaginaceae;parasite;pH tolerant;out
Ustilaginales;parasite;pH tolerant;out
Ustilaginoidea;parasite;pH tolerant;out
Ustilaginoidea virens;parasite;pH tolerant;out
Ustilaginomycetes;parasite;pH tolerant;out
Ustilaginomycotina;parasite;pH tolerant;out
Ustilago;parasite;pH tolerant;out
Ustilago bromivora;parasite;pH tolerant;out
Ustilago hordei;parasite;pH tolerant;out
Ustilago maydis;parasite;pH tolerant;out
Ustilago maydis 521;parasite;pH tolerant;out
Vanderwaltozyma;yeast;unknown;out
Vanderwaltozyma polyspora;yeast;unknown;out
Vanderwaltozyma polyspora DSM 70294;yeast;unknown;out
Vanrija;yeast;unknown;out
Vavraia;parasite (insects);unknown;out
Vavraia culicis;parasite (insects);unknown;out
Vavraia culicis subsp. floridensis;parasite (insects);unknown;out
Venturia;parasite;slightly acidic to neutral;2
Venturia effusa;parasite;slightly acidic to neutral;2
Venturia inaequalis;parasite;slightly acidic to neutral;2
Venturiaceae;unknown;unknown;out
Venturiales;unknown;unknown;out
Venustampulla;unknown;unknown;out
Venustampulla echinocandica;unknown;unknown;out
Verrucariaceae;lichen;alkaline;5
Verrucariales;lichen;alkaline;5
Verruconis;yeast;neutral to alkaline;4
Verruconis gallopava;yeast;neutral to alkaline;4
Verticillium;unknown;alkaline?;5
Verticillium dahliae;parasite;alkaline?;5
Wallemia;unknown;neutral?;3
Wallemia ichthyophaga;unknown;neutral?;3
Wallemia ichthyophaga EXF-994;unknown;neutral?;3
Wallemia mellicola;unknown;neutral;3
Wallemia mellicola CBS 633.66;unknown;neutral;3
Wallemiaceae;unknown;unknown;out
Wallemiales;unknown;unknown;out
Wallemiomycetes;unknown;unknown;out
Wallemiomycotina;unknown;unknown;out
Westerdykella;saprotroph;slightly acidic to slightly alkaline;3
Westerdykella ornata;saprotroph;slightly acidic to slightly alkaline;3
Wettsteinina;saprotroph;unknown;out
Wettsteinina dryadis;aquatic;contaminant;out
Wickerhamomyces;yeast;slightly acidic;2
Wickerhamomyces anomalus;yeast;slightly acidic;2
Wickerhamomyces anomalus NRRL Y-366-8;yeast;slightly acidic;2
Wickerhamomyces ciferrii;yeast;slightly acidic;2
Xylaria;saprotroph;slightly acidic;2
Xylaria hypoxylon;unknown;slightly acidic to neutral;2
Xylariaceae;unknown;unknown;out
Xylariales;unknown;unknown;out
Xylariomycetidae;unknown;unknown;out
Xylona;unknown;unknown;out
Xylona heveae;unknown;unknown;out
Xylona heveae TC161;unknown;unknown;out
Xylonaceae;unknown;unknown;out
Xylonales;unknown;unknown;out
Xylonomycetes;yeast;unknown;out
Yarrowia;yeast;acidic to slightly alkaline;2
Yarrowia lipolytica;mould;acidic to slightly alkaline;2
Zasmidium;mould;unknown;out
Zasmidium cellare;mould;unknown;out
Zasmidium cellare ATCC 36951;mould;unknown;out
Zoopagomycota;parasite;unknown;out
Zygosaccharomyces;yeast;acidic;1
Zygosaccharomyces rouxii;yeast;acidic;1
Zymoseptoria;parasite;unknown;out
Zymoseptoria tritici;parasite;unknown;out
