Name;assignment;pH;ref_pH;real_5;
Bistorta vivipara;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Bistorta+vivipara;3;
Bixa;contaminant;out;out;out;
Bixa orellana;contaminant;out;out;out;
Blakea;contaminant;out;out;out;
Blakea schlimii;contaminant;out;out;out;
Blepharostoma;moss;unknown;out;out;
Boechera;contaminant;out;out;out;
Boechera divaricarpa;contaminant;out;out;out;
Boechera sp. IPK Bsp 9;contaminant;out;out;out;
Boechera stricta;contaminant;out;out;out;
Boehmeria;contaminant;out;out;out;
Boehmeria grandis;contaminant;out;out;out;
Boehmeria nivea;contaminant;out;out;out;
Bombax;contaminant;out;out;out;
Bombax ceiba;contaminant;out;out;out;
Bonnetia;contaminant;out;out;out;
Bonnetia paniculata;contaminant;out;out;out;
Borya;contaminant;out;out;out;
Borya sphaerocephala;contaminant;out;out;out;
Boschniakia;;;;parasitic plant;
Boschniakia rossica;;;;parasitic plant;
Botrychium;fern;slightly alkaline;https://pfaf.org/USER/Plant.aspx?LatinName=Botrychium+lunaria&utm_content=cmp-true;4;
Botrychium lunaria;fern;slightly alkaline;https://pfaf.org/USER/Plant.aspx?LatinName=Botrychium+lunaria&utm_content=cmp-true;4;
Bougainvillea;contaminant;out;out;out;
Boykinia;contaminant;out;out;out;
Boykinia aconitifolia;contaminant;out;out;out;
Brachypodium;contaminant;out;out;out;
Brachypodium distachyon;contaminant;out;out;out;
Brachypodium sylvaticum;contaminant;out;out;out;
Brassica;herbaceous;slightly acidic;https://www.barenbrug.co.nz/dairy/brassica-management/soil-fertility-and-establishment/soil-fertility.htm;2;
Brassica napus;herbaceous;slightly acidic;https://www.barenbrug.co.nz/dairy/brassica-management/soil-fertility-and-establishment/soil-fertility.htm;2;
Brassica oleracea;herbaceous;slightly acidic;https://www.barenbrug.co.nz/dairy/brassica-management/soil-fertility-and-establishment/soil-fertility.htm;2;
Brassica rapa;herbaceous;slightly acidic;https://www.barenbrug.co.nz/dairy/brassica-management/soil-fertility-and-establishment/soil-fertility.htm;2;
Bromus;grass;moderately acid to slightly alkaline;https://tnyards.utk.edu/category/genus/bromus/;3;
Bruguiera;contaminant;out;out;out;
Bruinsmia;contaminant;out;out;out;
Bruinsmia polysperma;contaminant;out;out;out;
Brunellia;contaminant;out;out;out;
Bryum;moss;neutral;http://pza.sanbi.org/bryum-argenteum;3;
Bryum argenteum;moss;neutral;http://pza.sanbi.org/bryum-argenteum;3;
Bupleurum;contaminant;out;out;out;
Bupleurum scorzonerifolium;contaminant;out;out;out;
Burmannia;contaminant;out;out;out;
Burmannia nepalensis;contaminant;out;out;out;
Butomus;aquatic;out;out;out;
Butomus umbellatus;aquatic;out;out;out;
Buxbaumia;moss;acidic;https://www.degruyter.com/document/doi/10.1515/9781400845880.317/pdf;1;
Buxbaumia aphylla;moss;acidic;https://www.degruyter.com/document/doi/10.1515/9781400845880.317/pdf;1;
Cabomba;contaminant;out;out;out;
Cabomba aquatica;contaminant;out;out;out;
Cabomba caroliniana;contaminant;out;out;out;
Cajanus;contaminant;out;out;out;
Cajanus cajan;contaminant;out;out;out;
Calamagrostis;grass;no preferences;http://www.perennialresource.com/variety.php?ID=CALKF;out;
California;contaminant;out;out;out;
California macrophylla;contaminant;out;out;out;
Callicarpa;contaminant;out;out;out;
Callicladium;moss;unknown;out;out;
Callicladium imponens;contaminant;out;out;out;
Calligonum;contaminant;out;out;out;
Calligonum junceum;contaminant;out;out;out;
Callitriche;aquatic;out;out;out;
Caltha;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Caltha+palustris;3;
Caltha palustris;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Caltha+palustris;3;
Calypogeia;moss;unknown;out;out;
Camelina;contaminant;out;out;out;
Camelina sativa;contaminant;out;out;out;
Camellia;contaminant;out;out;out;
Camellia longipedicellata;contaminant;out;out;out;
Camellia sinensis;contaminant;out;out;out;
Campnosperma;contaminant;out;out;out;
Campnosperma gummiferum;contaminant;out;out;out;
Campylium;moss;unknown;out;out;
Campylium stellatum;moss;unknown;out;out;
Canavalia;contaminant;out;out;out;
Canavalia lineata;contaminant;out;out;out;
Cannabis;contaminant;out;out;out;
Cannabis sativa;contaminant;out;out;out;
Capsella;contaminant;out;out;out;
Capsella rubella;contaminant;out;out;out;
Capsicum;contaminant;out;out;out;
Capsicum annuum;contaminant;out;out;out;
Caragana;contaminant;out;out;out;
Caragana jubata;contaminant;out;out;out;
Caragana korshinskii;contaminant;out;out;out;
Cardamine;herbaceous;alkaline;https://en.hortipedia.com/Cardamine_trifolia;5;
Cardamine resedifolia;contaminant;out;out;out;
Carex;grass;slightly acidic to neutral;https://www.wilsonbrosgardens.com/planting-and-growing-carex-sedge.html;2;
Carex acutiformis;contaminant;out;out;out;
Carex arctogena;contaminant;out;out;out;
Carex blanda;contaminant;out;out;out;
Carex cf. ludwigii MM3721;contaminant;out;out;out;
Carex curvicollis;contaminant;out;out;out;
Carex duriuscula;grass;slightly acidic to neutral;https://www.wilsonbrosgardens.com/planting-and-growing-carex-sedge.html;2;
Carex eburnea;contaminant;out;out;out;
Carex flacca;contaminant;out;out;out;
Carex hachijoensis;contaminant;out;out;out;
Carex microglochin;contaminant;out;out;out;
Carex moorcroftii;contaminant;out;out;out;
Carex myosuroides;grass;slightly acidic to neutral;https://www.wilsonbrosgardens.com/planting-and-growing-carex-sedge.html;2;
Carex nigra;grass;slightly acidic to neutral;https://www.wilsonbrosgardens.com/planting-and-growing-carex-sedge.html;2;
Carex pallescens;grass;slightly acidic to neutral;https://www.wilsonbrosgardens.com/planting-and-growing-carex-sedge.html;2;
Carex panicea;grass;slightly acidic to neutral;https://www.wilsonbrosgardens.com/planting-and-growing-carex-sedge.html;2;
Carex parvula;contaminant;out;out;out;
Carex rupestris;grass;slightly acidic to neutral;https://www.wilsonbrosgardens.com/planting-and-growing-carex-sedge.html;2;
Carex siderosticta;contaminant;out;out;out;
Carex steudneri;contaminant;out;out;out;
Carex vestita;contaminant;out;out;out;
Carica;contaminant;out;out;out;
Carica papaya;contaminant;out;out;out;
Carpinus;contaminant;out;out;out;
Carpinus caroliniana;contaminant;out;out;out;
Caryophyllaceae environmental sample;contaminant;out;out;out;
Casearia;contaminant;out;out;out;
Casearia decandra;contaminant;out;out;out;
Cassiope;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Cassiope;3;
Cassiope mertensiana;contaminant;out;out;out;
Castanospermum;contaminant;out;out;out;
Castanospermum australe;contaminant;out;out;out;
Castilleja;contaminant;out;out;out;
Castilleja paramensis;contaminant;out;out;out;
Castilleja sulphurea;contaminant;out;out;out;
Casuarina;contaminant;out;out;out;
Causonis;contaminant;out;out;out;
Causonis japonica;contaminant;out;out;out;
Cedrus;contaminant;out;out;out;
Cedrus atlantica;contaminant;out;out;out;
Cenchrus;contaminant;out;out;out;
Cenchrus americanus x Cenchrus squamulatus;contaminant;out;out;out;
Cephalanthus;contaminant;out;out;out;
Cephalanthus occidentalis;contaminant;out;out;out;
