depth	min	max	median	mean
343	8725	9863	9307	9304
344	8752	9876	9329	9324
345	8774	9892	9350	9345
346	8798	9914	9371	9366
347	8819	9930	9392	9386
348	8838	9950	9415	9407
349	8854	9973	9436	9428
350	8867	9993	9457	9449
351	8910	10008	9475	9470
352	8941	10019	9496	9492
353	8965	10035	9518	9514
354	8995	10053	9541	9535
355	9017	10070	9562	9557
356	9039	10088	9586	9578
357	9061	10106	9607	9600
358	9079	10125	9631	9622
359	9099	10141	9651	9643
360	9119	10167	9673	9665
361	9162	10182	9692	9686
362	9200	10196	9714	9708
363	9238	10211	9734	9729
364	9264	10230	9755	9751
365	9292	10244	9777	9772
366	9319	10260	9798	9794
367	9347	10275	9820	9816
368	9370	10302	9842	9837
369	9388	10328	9866	9859
370	9406	10356	9887	9880
371	9449	10367	9906	9901
372	9494	10378	9925	9921
373	9532	10390	9943	9942
374	9570	10401	9962	9962
375	9602	10417	9982	9983
376	9631	10431	10003	10004
377	9653	10449	10024	10024
378	9681	10464	10045	10045
379	9705	10480	10070	10065
380	9718	10502	10091	10086
381	9754	10546	10129	10123
382	9783	10590	10162	10161
383	9811	10647	10192	10198
384	9829	10711	10223	10235
385	9848	10789	10253	10272
386	9865	10870	10282	10310
387	9881	10965	10312	10347
388	9898	11064	10345	10384
389	9910	11149	10374	10421
390	9922	11245	10407	10459
391	9956	11277	10445	10495
392	9987	11316	10483	10531
393	10013	11345	10524	10567
394	10033	11378	10563	10603
395	10055	11414	10599	10639
396	10075	11458	10636	10675
397	10091	11521	10673	10711
398	10105	11585	10708	10747
399	10121	11658	10743	10783
400	10139	11736	10780	10819
401	10178	11762	10818	10856
402	10211	11794	10855	10892
403	10233	11824	10892	10929
404	10262	11864	10931	10966
405	10287	11897	10966	11002
406	10304	11936	11004	11039
407	10317	11986	11040	11075
408	10333	12049	11080	11112
409	10349	12103	11115	11148
410	10367	12168	11150	11185
411	10410	12192	11189	11223
412	10454	12221	11228	11261
413	10485	12245	11269	11299
414	10520	12282	11311	11337
415	10551	12325	11352	11375
416	10577	12372	11395	11413
417	10599	12408	11431	11451
418	10623	12454	11472	11489
419	10645	12507	11509	11527
420	10663	12561	11547	11565
421	10701	12586	11585	11602
422	10740	12608	11623	11639
423	10772	12638	11661	11676
424	10804	12664	11701	11713
425	10830	12703	11740	11750
426	10857	12744	11779	11787
427	10876	12792	11820	11824
428	10900	12830	11858	11861
429	10925	12883	11896	11898
430	10945	12935	11935	11935
431	10993	12955	11970	11972
432	11046	12978	12008	12010
433	11092	13004	12047	12047
434	11127	13034	12084	12084
435	11165	13059	12120	12122
436	11199	13088	12157	12159
437	11228	13132	12196	12197
438	11261	13178	12239	12234
439	11288	13233	12273	12272
440	11312	13277	12312	12309
441	11375	13296	12352	12347
442	11422	13319	12391	12385
443	11473	13343	12431	12423
444	11518	13367	12470	12461
445	11545	13392	12506	12499
446	11580	13420	12545	12537
447	11613	13453	12585	12575
448	11648	13496	12622	12613
449	11675	13535	12659	12651
450	11693	13591	12698	12689
451	11759	13606	12736	12727
452	11817	13625	12775	12766
453	11871	13644	12816	12804
454	11911	13667	12856	12842
455	11956	13693	12899	12881
456	11996	13716	12942	12919
457	12029	13748	12982	12958
458	12076	13784	13023	12996
